Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, inside skirt, boneless, plate steak",253,32,6,19,General nutrition,Adults,Dinner,21.7,Normal weight
"Seeds, without salt, sunflower seed butter",617,3,34,15,"Heart health, Weight management, Brain function",All ages,Other,30.0,Obesity
"Soup, reduced sodium, condensed, canned, tomato",65,29,86,5,General nutrition,Children,Lunch,18.5,Underweight
"Egg, pasteurized, salted, frozen, raw, whole",138,27,48,3,General nutrition,Old age,Breakfast,18.5,Underweight
"OLIVE GARDEN, spaghetti with meat sauce",121,39,99,5,General nutrition,Adults,Dinner,18.5,Underweight
"Fish, dried and salted, Atlantic, cod",290,48,69,3,"Brain development, Joint health, Mood improvement",Old age,Dinner,21.7,Normal weight
"KASHI Spinach Artichoke Pasta, unprepared, frozen",103,21,49,29,General nutrition,All ages,Dinner,18.5,Underweight
"Soup, prepared with equal volume water, canned, chicken gumbo",23,41,46,24,General nutrition,Children,Lunch,18.5,Underweight
"Beverages, powder, no sugar added, Cocoa mix",377,38,27,14,General nutrition,Adults,Other,21.7,Normal weight
"Cake, cherry fudge with chocolate frosting",264,13,60,8,General nutrition,Adults,Other,21.7,Normal weight
"Cereals ready-to-eat, Berry Fruitful, KASHI ORGANIC PROMISE",318,28,68,4,"Antioxidant boost, Immune support, Skin health",All ages,Breakfast,21.7,Normal weight
"Babyfood, prepared with whole milk, barley, cereal",84,21,68,24,General nutrition,Old age,Breakfast,18.5,Underweight
"Mangos, raw",60,39,28,14,General nutrition,All ages,Other,18.5,Underweight
"Fast foods, chicken tenders",271,4,96,21,General nutrition,Old age,Dinner,21.7,Normal weight
"Veal, braised, cooked, separable lean only, leg (top round)",203,14,4,16,General nutrition,All ages,Other,21.7,Normal weight
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",249,28,72,17,General nutrition,Children,Dinner,21.7,Normal weight
"Cereals ready-to-eat, OAT BLENDERS with honey, MALT-O-MEAL",396,42,63,0,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Fast foods, with cone, soft-serve ice cream, light, vanilla",163,47,99,4,General nutrition,Old age,Other,18.5,Underweight
"WORTHINGTON Prosage Links, unprepared, frozen",143,45,58,2,General nutrition,All ages,Other,18.5,Underweight
"Spices, ground, sage",315,46,93,19,General nutrition,Adults,Other,21.7,Normal weight
"Guavas, raw, common",68,17,58,21,General nutrition,Old age,Other,18.5,Underweight
"Child formula, ready-to-feed, PEDIASURE, ABBOTT NUTRITION",99,36,68,16,General nutrition,All ages,Other,18.5,Underweight
"Cereals ready-to-eat, Banana Nut, CHEERIOS, GENERAL MILLS",375,25,2,23,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Fast foods, and bacon, cheese, with egg, biscuit",301,36,38,25,General nutrition,All ages,Breakfast,21.7,Normal weight
"McDONALD'S, Premium Crispy Chicken Ranch BLT Sandwich",244,45,16,4,General nutrition,Children,Lunch,21.7,Normal weight
"Fruit juice smoothie, strawberry banana, ODWALLA",48,2,83,18,"Antioxidant boost, Immune support, Skin health",Adults,Snack,18.5,Underweight
"Fast foods, vegetables and mayonnaise, large patty; with condiments, hamburger; single",226,39,36,7,General nutrition,Adults,Lunch,21.7,Normal weight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",295,0,27,4,General nutrition,Adults,Other,21.7,Normal weight
"Pork, raw, 96% lean / 4% fat, ground",121,45,63,5,General nutrition,Adults,Other,18.5,Underweight
"Beans, raw, mature seeds, french",343,36,13,24,General nutrition,Old age,Other,21.7,Normal weight
"Beans, with franks, canned, baked",142,37,36,9,General nutrition,Children,Other,18.5,Underweight
"Egg, poached, cooked, whole",143,31,60,17,General nutrition,Children,Breakfast,18.5,Underweight
"Bread, and rice flour, rice starch, made with potato extract, white, gluten-free",320,9,77,12,General nutrition,Old age,Other,21.7,Normal weight
"Turkey, roasted, meat only, from whole bird, breast",147,31,95,19,General nutrition,Children,Dinner,18.5,Underweight
"Pork, pan-broil, heated, separable lean and fat, bone-in, slice, ham -- water added, cured",166,48,97,16,General nutrition,Adults,Other,18.5,Underweight
"Beef, roasted, cooked, all grades, trimmed to 1/4"" fat, separable lean only, clod roast, chuck",173,44,43,4,General nutrition,All ages,Other,18.5,Underweight
"Sauce, ready-to-serve, spaghetti/marinara, pasta",50,1,55,23,General nutrition,Old age,Dinner,18.5,Underweight
"Soup, prepared with equal volume water, canned, tomato bisque",50,36,73,7,General nutrition,Adults,Lunch,18.5,Underweight
"Salad dressing, reduced calorie, italian dressing",200,48,99,5,General nutrition,Children,Lunch,21.7,Normal weight
"Soup, ready-to-serve, chunky, canned, chicken",71,39,76,28,General nutrition,Old age,Lunch,18.5,Underweight
"Barley, cooked, pearled",123,20,33,17,General nutrition,Adults,Snack,18.5,Underweight
"KEEBLER, Cashew Shortbread Cookies, SANDIES",535,32,38,23,General nutrition,Old age,Other,27.45,Overweight
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",211,12,12,24,General nutrition,Old age,Dinner,21.7,Normal weight
"Veal, raw, separable lean and fat, blade chop, shoulder",148,40,49,10,General nutrition,Adults,Other,18.5,Underweight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",192,45,77,11,General nutrition,Children,Other,18.5,Underweight
"Beverages, powder, lemonade-flavor drink",380,40,4,22,General nutrition,Old age,Other,21.7,Normal weight
"Infant formula, with ARA and DHA, ready-to-feed, with iron, LIPIL, NUTRAMIGEN, ENFAMIL, MEAD JOHNSON",66,17,17,19,General nutrition,Adults,Other,18.5,Underweight
"Cereals, dry, Instant Grits Product with American Cheese Flavor, QUAKER",360,35,50,18,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Soup, condensed, canned, tomato",66,47,24,29,General nutrition,Adults,Lunch,18.5,Underweight
"Turkey, raw, with added solution, meat only, from whole bird, drumstick",115,19,5,20,General nutrition,Adults,Dinner,18.5,Underweight
"Danish pastry, unenriched, cinnamon",403,10,44,23,General nutrition,Children,Other,27.45,Overweight
"Cereals ready-to-eat, KASHI GOLEAN CRISP Toasted Berry Crumble",368,47,43,17,"Antioxidant boost, Immune support, Skin health",All ages,Breakfast,21.7,Normal weight
"Chicken, roasted, cooked, meat only, light meat, roasting",153,30,78,17,General nutrition,Children,Dinner,18.5,Underweight
"Oil, uses similar to 95 degree hard butter, confection fat, palm kernel (hydrogenated), industrial",884,30,43,25,General nutrition,All ages,Other,30.0,Obesity
"Beef, pan-browned, cooked, crumbles, 70% lean meat / 30% fat, ground",270,10,8,2,General nutrition,Children,Dinner,21.7,Normal weight
"Pie crust, baked, enriched, ready-to-bake, frozen, standard-type",508,38,60,25,General nutrition,Old age,Other,27.45,Overweight
"Cereals, without salt, microwaved, cooked with water, 1 minute cook time, CREAM OF WHEAT",55,6,10,26,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,18.5,Underweight
"Nuts, dried, chinese, chestnuts",363,46,8,8,"Heart health, Weight management, Brain function",Adults,Snack,21.7,Normal weight
"Oil, high oleic (70% and over), sunflower",884,42,92,19,General nutrition,Children,Other,30.0,Obesity
"Milk, with added vitamin A and vitamin D, protein fortified, 1% milkfat, fluid, lowfat",48,21,31,19,General nutrition,All ages,Other,18.5,Underweight
"Pheasant, raw, meat only, leg",134,29,16,4,General nutrition,Adults,Dinner,18.5,Underweight
"Lamb, raw, separable lean only, square-cut shoulder, imported, New Zealand",154,5,78,11,General nutrition,Children,Other,18.5,Underweight
"Protein supplement, powder, Muscle Milk, milk based",411,40,67,18,General nutrition,All ages,Other,27.45,Overweight
"LOMA LINDA Redi-Burger, unprepared, canned",146,39,45,26,General nutrition,Children,Lunch,18.5,Underweight
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, steak, top loin, short loin",177,31,77,23,General nutrition,All ages,Dinner,18.5,Underweight
Nkatie Cake,240,9,30,10,High protein,good source of iron,Other,21.7,Normal weight
"Lamb, raw, separable lean only, boneless, flap, imported, New Zealand",180,21,63,16,General nutrition,Old age,Other,18.5,Underweight
"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham with natural juices, cured",191,28,66,7,General nutrition,Old age,Other,18.5,Underweight
"Chicken, batter, fried, cooked, skin only, broilers or fryers",394,33,14,20,General nutrition,Adults,Dinner,21.7,Normal weight
"Peas, unprepared, frozen, edible-podded",42,21,47,21,General nutrition,Adults,Other,18.5,Underweight
"Beverages, with whitener and low calorie sweetener, decaffeinated, instant, coffee and cocoa",440,43,17,27,General nutrition,All ages,Other,27.45,Overweight
"USDA Commodity, frozen, Potato wedges",123,1,97,13,General nutrition,Adults,Other,18.5,Underweight
"Spices, ground, savory",272,36,86,4,General nutrition,Adults,Other,21.7,Normal weight
"Salad dressing, soybean without cholesterol, imitation, mayonnaise",482,31,91,5,General nutrition,Old age,Lunch,27.45,Overweight
Asana (Groundnut Drink),200,5,30,8,Energy boost,rich in protein,Other,21.7,Normal weight
"KASHI, unprepared, 7 Whole Grain, Pilaf",375,33,77,4,"Sustained energy, Digestive health, Blood sugar control",All ages,Other,21.7,Normal weight
"Pork, simmered, cooked, tail, variety meats and by-products, fresh",396,13,13,6,General nutrition,Children,Dinner,21.7,Normal weight
"Pork, braised, cooked, separable lean and fat, boneless, sirloin (chops), loin, fresh",171,23,40,19,General nutrition,Old age,Other,18.5,Underweight
"TACO BELL, BURRITO SUPREME with chicken",179,7,59,7,General nutrition,Children,Dinner,18.5,Underweight
"Canadian bacon, pan-fried, cooked",146,9,69,21,General nutrition,Children,Other,18.5,Underweight
"Chickpeas (garbanzo beans, bengal gram), with salt, boiled, cooked, mature seeds",164,46,36,14,General nutrition,Children,Other,18.5,Underweight
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",155,16,28,15,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",223,4,29,7,General nutrition,Old age,Dinner,21.7,Normal weight
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket",280,46,0,16,General nutrition,All ages,Other,21.7,Normal weight
"Corn, solids and liquids, regular pack, whole kernel, canned, white, sweet",64,33,80,20,General nutrition,Adults,Other,18.5,Underweight
"Pork, raw, separable lean only, boneless, center rib (chops or roasts), loin, fresh",152,38,11,1,General nutrition,Old age,Other,18.5,Underweight
"Nuts, dried, pinyon, pine nuts",629,23,85,2,"Heart health, Weight management, Brain function",Old age,Snack,30.0,Obesity
"Babyfood, multigrain cereal and added DHA fortified, with fruit, whole milk, yogurt",98,46,13,17,General nutrition,All ages,Breakfast,18.5,Underweight
"Lamb, raw, separable lean and fat, boneless, loin, imported, New Zealand",122,4,68,28,General nutrition,Children,Other,18.5,Underweight
"Buckwheat groats, cooked, roasted",92,33,80,27,General nutrition,Children,Breakfast,18.5,Underweight
"Pasta, cooked, spinach, fresh-refrigerated",130,3,14,10,General nutrition,Old age,Dinner,18.5,Underweight
"Puddings, with added oil, instant, dry mix, banana",386,22,97,9,General nutrition,Old age,Other,21.7,Normal weight
"Babyfood, dry, with bananas, rice, cereal",404,48,98,18,General nutrition,Children,Breakfast,27.45,Overweight
"Brussels sprouts, without salt, drained, boiled, cooked",36,25,14,12,General nutrition,Adults,Other,18.5,Underweight
"Corn, unprepared, kernels on cob, frozen, white, sweet",98,27,43,1,General nutrition,Children,Other,18.5,Underweight
"Beef, raw, Aust. marble score 4/5, separable lean and fat, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",206,36,58,13,General nutrition,Children,Dinner,21.7,Normal weight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, eye of round steak, round",163,41,17,19,General nutrition,Old age,Dinner,18.5,Underweight
"Parmesan cheese topping, fat free",370,12,15,22,General nutrition,Children,Other,21.7,Normal weight
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",160,31,20,21,General nutrition,Adults,Dinner,18.5,Underweight
"Turkey from whole, roasted, cooked, with added solution, meat only, light meat",127,11,36,24,General nutrition,Old age,Dinner,18.5,Underweight
"Sauce, dry, cheese sauce mix",438,7,84,12,General nutrition,Old age,Other,27.45,Overweight
"School Lunch, cooked, frozen, whole grain, thick crust, cheese topping, pizza",254,35,41,9,General nutrition,Adults,Lunch,21.7,Normal weight
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean only, foreshank, fresh, imported, Australian",165,9,50,4,General nutrition,Old age,Other,18.5,Underweight
"Crackers, egg, matzo",391,5,76,13,General nutrition,All ages,Breakfast,21.7,Normal weight
"Cereals, no salt, prepared with water, QUAKER/MOTHER'S Oat Bran, Oat Bran, QUAKER",43,24,85,20,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,18.5,Underweight
"Pork, pan-broiled, cooked, 84% lean / 16% fat, ground",301,32,8,27,General nutrition,All ages,Other,21.7,Normal weight
"Potatoes, no salt added, drained solids, canned",62,10,59,8,General nutrition,Old age,Other,18.5,Underweight
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, whole (shank and sirloin), leg, domestic",230,3,81,23,General nutrition,Old age,Other,21.7,Normal weight
"Cake, dry mix, unenriched, yellow",432,20,11,13,General nutrition,All ages,Other,27.45,Overweight
"Cereals, cinnamon, weight control, Instant Oatmeal, QUAKER",361,43,11,9,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"Pork, baked, cooked, bacon, cured",548,39,1,5,General nutrition,Adults,Other,27.45,Overweight
"Beef, braised, cooked, separable lean only, chuck eye roll, imported, New Zealand",208,15,83,2,General nutrition,Old age,Other,21.7,Normal weight
"Pie, prepared from recipe, pecan",412,28,95,16,General nutrition,Old age,Other,27.45,Overweight
"Soursop, raw",66,2,66,17,General nutrition,Children,Other,18.5,Underweight
"Noodles, Chinese restaurant, crunchy, flat",521,36,83,11,General nutrition,All ages,Other,27.45,Overweight
"Snacks, taro chips",498,21,7,3,General nutrition,Adults,Snack,27.45,Overweight
"Fish, dry heat, cooked, sablefish",250,37,5,6,"Brain development, Joint health, Mood improvement",Old age,Dinner,21.7,Normal weight
"Popcorn, low fat and sodium, microwave",429,38,0,29,General nutrition,Old age,Other,27.45,Overweight
"Candies, milk chocolate covered, MILKY WAY Caramels, MARS SNACKFOOD US",463,49,87,25,General nutrition,Adults,Snack,27.45,Overweight
"USDA Commodity, canned, meatless, spaghetti sauce",48,29,61,8,General nutrition,Adults,Dinner,18.5,Underweight
"Rice, cooked without salt, unenriched, regular, long-grain, white",130,8,81,24,General nutrition,Children,Other,18.5,Underweight
"Sausage, egg and cheese breakfast biscuit",324,5,4,7,General nutrition,Adults,Breakfast,21.7,Normal weight
"Pork, cooked, lean and fat, low sodium, ham, cured",172,17,85,26,General nutrition,Adults,Other,18.5,Underweight
"Frozen yogurts, chocolate",127,36,16,24,General nutrition,Old age,Other,18.5,Underweight
"Beef, braised, cooked, separable lean and fat, brisket point end, imported, New Zealand",250,21,2,17,General nutrition,All ages,Other,21.7,Normal weight
"Beef, raw, brain, variety meats and by-products",143,16,35,23,General nutrition,Adults,Dinner,18.5,Underweight
"Cowpeas, raw, leafy tips",29,49,42,2,General nutrition,All ages,Other,18.5,Underweight
"Lamb, raw, separable lean only, rack - fully frenched, imported, New Zealand",147,34,50,5,General nutrition,All ages,Other,18.5,Underweight
"Corn, drained solids, whole kernel, canned, yellow, sweet",67,44,66,12,General nutrition,All ages,Other,18.5,Underweight
"Corn, no salt added, cream style, canned, white, sweet",72,14,27,17,General nutrition,Children,Other,18.5,Underweight
