Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"Cereals ready-to-eat, bite size, KELLOGG'S FROSTED MINI-WHEATS, KELLOGG",350,7,57,8,A,Others,19.4,Normal weight,Iron,"Sustained energy, Digestive health, Blood sugar control",Old age,"Macular Degeneration, COPD, Sepsis"
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, center slice, leg, fresh, imported, Australian",143,28,20,20,E,Snacks,20.6,Normal weight,"Zinc, Calcium",General nutrition,Children,Osteoporosis
"Pork, raw, separable lean and fat, boneless, Leg sirloin tip roast",113,47,52,3,"C, D, E, A",Snacks,21.9,Normal weight,"Magnesium, Zinc",General nutrition,All ages,Mucopolysaccharidosis
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, boneless, ribeye petite roast",164,28,12,3,"B, D, A, C",Snacks,17.3,Underweight,"Calcium, Zinc, Iron",General nutrition,Children,Meningitis
"Turkey, raw, meat and skin, dark meat",161,17,3,24,"D, A",Snacks,22.0,Normal weight,"Calcium, Zinc, Magnesium",General nutrition,Old age,"Inflammatory Bowel Disease, Ulcers"
"Frozen novelties, SLIM-A-BEAR Chocolate Cone, KLONDIKE",224,32,50,27,E,Breakfast,26.2,Overweight,Magnesium,General nutrition,Children,"Anxiety, Sleep Apnea"
"Babyfood, multigrain cereal and added iron fortified, with fruit, whole milk, yogurt",92,14,11,11,"C, D, B",Snacks,17.5,Underweight,Calcium,General nutrition,All ages,"Cystitis, Hypoglycemia"
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top sirloin filet, loin",174,7,62,24,"A, B, D, C",Snacks,19.6,Normal weight,"Magnesium, Calcium, Iron",General nutrition,Children,GERD
"Beverages, 3-2-1 plan, Ready-To-Drink, High Protein Shake, Meal replacement, SLIMFAST",58,20,44,26,"E, B, D, A",Snacks,18.8,Normal weight,"Calcium, Magnesium, Iron",General nutrition,Children,"Marfan Syndrome, Leukemia"
"Lebanon bologna, beef",172,15,8,10,"B, C",Snacks,17.9,Underweight,Magnesium,General nutrition,All ages,"Hyperglycemia, Phenylketonuria, Canavan Disease"
"Cereals, dry, maple and brown sugar, Instant Oatmeal, QUAKER",368,22,67,6,C,Breakfast,21.0,Normal weight,Iron,"Sustained energy, Digestive health, Blood sugar control",Adults,"Acromegaly, Crohn's Disease, Myeloma"
"Brotwurst, link, beef, pork",323,42,66,11,"D, C",Breakfast,29.1,Overweight,"Magnesium, Iron, Zinc",General nutrition,Old age,"Bipolar Disorder, Seizure Disorders"
"Candies, REESE'S Peanut Butter Cups",515,25,84,1,"E, C, D",Lunch,24.3,Normal weight,"Calcium, Zinc",General nutrition,Children,Lung Cancer
"Pork, roasted, cooked, separable lean only, boneless, center rib (roasts), loin, fresh",214,21,27,17,"E, B, C",Breakfast,22.2,Normal weight,"Zinc, Iron",General nutrition,All ages,Hyperthyroidism
"Salad dressing, bacon and tomato",326,19,82,25,"E, C, A",Others,27.2,Overweight,Iron,General nutrition,Old age,"Addison's Disease, Alkaptonuria"
"KEEBLER, Frosted Cookies, ANIMALS",506,49,72,14,D,Lunch,28.0,Overweight,Magnesium,General nutrition,All ages,Celiac Disease
"Chicken, raw, with added solution, meat and skin, thigh, dark meat",197,32,97,7,"E, C, B, A",Snacks,27.6,Overweight,"Iron, Zinc, Calcium",General nutrition,Old age,Congenital Heart Disease
"Corn, with salt, drained, boiled, cooked, white, sweet",97,20,70,24,"C, D, B",Snacks,27.3,Overweight,"Iron, Magnesium, Calcium",General nutrition,Children,Celiac Disease
"Fast foods, caramel, sundae",196,18,64,23,"A, C",Snacks,28.4,Overweight,"Iron, Calcium",General nutrition,Adults,Pelvic Inflammatory Disease
"Pomegranate juice, bottled",54,45,71,1,"A, C, D",Snacks,23.9,Normal weight,"Iron, Zinc, Magnesium",General nutrition,All ages,"Cystic Fibrosis, Post-Traumatic Stress Disorder (PTSD), Anorexia Nervosa"
"Cereals, dry, quick (1-3 minutes), assorted brands including CREAM OF WHEAT, enriched, farina",360,4,31,3,"D, B, E, A",Breakfast,18.0,Underweight,"Zinc, Iron, Calcium","Sustained energy, Digestive health, Blood sugar control",Children,"Angelman Syndrome, Heart Disease, High Cholesterol"
"Cereals ready-to-eat, MARSHMALLOW MATEYS, MALT-O-MEAL",387,12,32,27,"B, E, C",Others,18.8,Normal weight,"Magnesium, Iron, Zinc","Sustained energy, Digestive health, Blood sugar control",Children,Lactose Intolerance
"Mollusks, raw, snail",90,4,18,28,"C, B, E",Snacks,22.7,Normal weight,Zinc,General nutrition,Adults,Binge Eating Disorder
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast/filet, loin",132,13,3,1,"C, D, B, A",Snacks,17.4,Underweight,"Calcium, Iron, Zinc",General nutrition,Adults,"Menopause, Acromegaly, Maple Syrup Urine Disease"
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, shank half, leg, fresh, imported, Australian",231,48,55,28,"A, C, B",Breakfast,28.8,Overweight,Magnesium,General nutrition,Adults,"Gallstones, Scleroderma, Liver Disease"
"Chicken, wing meat and skin, BBQ, rotisserie, broiler",257,35,71,18,"A, C",Breakfast,28.3,Overweight,Iron,General nutrition,Old age,"Prostate Cancer, Parkinson's Disease"
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), rib",285,3,35,3,"A, E",Others,16.1,Underweight,"Calcium, Zinc, Iron",General nutrition,Old age,Schizophrenia
"McDONALD'S, Hash Brown",271,17,80,29,"D, C",Others,25.7,Overweight,"Iron, Zinc",General nutrition,Old age,"Epilepsy, Heart Disease"
"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham, cured",191,19,44,16,"C, B",Snacks,24.1,Normal weight,Magnesium,General nutrition,Old age,Crohn's Disease
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, roast, bottom round, round",223,1,18,16,"B, A, C, E",Others,23.3,Normal weight,Magnesium,General nutrition,Old age,"Epilepsy, Mucopolysaccharidosis, Scleroderma"
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, inside skirt, boneless, plate steak",174,22,89,2,"A, C, D, E",Snacks,21.2,Normal weight,Magnesium,General nutrition,Old age,Zellweger Spectrum Disorder
"Snacks, banana chips",519,35,60,25,"E, C, D, B",Lunch,27.0,Overweight,"Magnesium, Zinc, Calcium",General nutrition,All ages,Lung Cancer
"BURGER KING, CROISSAN'WICH with Sausage and Cheese",376,20,90,4,"C, D, E",Breakfast,22.7,Normal weight,Iron,General nutrition,Old age,"GERD, Lymphoma"
"Doughnuts, sugared or glazed, plain, cake-type",426,40,94,19,"B, A, C",Lunch,27.4,Overweight,"Iron, Magnesium, Calcium",General nutrition,Adults,"Ovarian Cancer, Fibromyalgia, Cushing's Syndrome"
"School Lunch, cooked, frozen, whole grain, thin crust, sausage topping, pizza",250,18,31,21,"E, B, D",Others,19.8,Normal weight,"Zinc, Calcium, Iron",General nutrition,Old age,Skin Cancer
"Turnover, frozen, meat and cheese, filled with egg",228,29,18,22,C,Others,20.8,Normal weight,"Iron, Zinc, Magnesium",General nutrition,Old age,"Dementia, Gallstones, Tay-Sachs Disease"
"Snacks, chocolate chip, KUDOS Whole Grain Bar, M&M MARS",420,36,99,10,"D, C",Lunch,28.5,Overweight,Iron,"Sustained energy, Digestive health, Blood sugar control",All ages,"HIV/AIDS, Leigh Syndrome, Neurofibromatosis"
"Bockwurst, raw, veal, pork",301,1,24,7,E,Others,16.3,Underweight,Zinc,General nutrition,Adults,Tuberculosis
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",157,30,53,26,"D, A, C, E",Snacks,25.2,Overweight,Magnesium,General nutrition,Old age,"Epilepsy, Hepatitis, Hemochromatosis"
"Fast foods, sausage, griddle cake sandwich",318,1,65,3,"E, B, A",Others,19.6,Normal weight,Zinc,General nutrition,Children,Sjogren's Syndrome
"Rice, dry, unenriched, parboiled, long-grain, white",374,13,49,3,"D, C",Breakfast,23.8,Normal weight,"Iron, Zinc",General nutrition,All ages,"Hypoglycemia, Mucopolysaccharidosis, Thyroid Disorders"
"Popcorn, fat-free, sugar syrup/caramel",381,49,10,17,E,Others,26.9,Overweight,"Iron, Zinc, Calcium",General nutrition,All ages,"Angelman Syndrome, Canavan Disease"
"Chicken, batter, fried, cooked, meat and skin, broilers or fryers",289,22,78,26,D,Others,25.0,Overweight,"Calcium, Magnesium",General nutrition,Adults,"Ehlers-Danlos Syndrome, Gaucher's Disease"
"Fish, dry heat, cooked, burbot",115,42,20,20,"C, B",Snacks,23.9,Normal weight,"Calcium, Magnesium","Brain development, Joint health, Mood improvement",Adults,"Cataracts, Encephalitis, Skin Cancer"
"Babyfood, junior, cherry vanilla pudding, dessert",69,36,73,14,"E, D",Snacks,27.9,Overweight,"Zinc, Magnesium",General nutrition,Adults,"Myeloma, Congenital Heart Disease"
"Infant formula, ready-to-feed, with iron, PROSOBEE, MEAD JOHNSON",63,7,81,29,"A, E",Snacks,25.3,Overweight,Zinc,General nutrition,Old age,"Parkinson's Disease, Tuberculosis"
"Turkey, raw, giblets, whole",124,45,35,27,"A, D",Snacks,28.2,Overweight,"Zinc, Magnesium, Calcium",General nutrition,All ages,"Glaucoma, Systemic Lupus Erythematosus"
"Pie crust, baked, prepared, dry mix, standard-type",501,10,15,13,"D, B, A, C",Others,20.8,Normal weight,"Magnesium, Zinc",General nutrition,Children,Congenital Heart Disease
"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, Classic Chicken Noodle",45,24,33,2,"B, C, E",Snacks,16.9,Underweight,Zinc,General nutrition,Old age,"Liver Disease, Osteoporosis, Raynaud's Disease"
"WORTHINGTON Chili, unprepared, canned",126,26,36,9,"D, A, B, E",Snacks,20.5,Normal weight,"Magnesium, Calcium",General nutrition,All ages,"Obesity, Leigh Syndrome"
"Candies, white chocolate",539,46,7,14,"B, E, A, D",Lunch,29.8,Overweight,Zinc,General nutrition,Old age,Hypertension
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean only, arm, shoulder, fresh, imported, Australian",238,28,0,25,"B, E, D, C",Others,21.4,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,Old age,"Depression, Gallstones"
"Corn, without salt, drained, boiled, cooked, yellow, sweet",96,28,36,29,A,Snacks,25.4,Overweight,Calcium,General nutrition,All ages,"Systemic Lupus Erythematosus, Sepsis, Heart Disease"
"Infant formula, with ARA and DHA, ready-to-feed, GO AND GROW, SIMILAC, ABBOTT NUTRITION",66,30,43,10,"E, C",Snacks,19.3,Normal weight,"Zinc, Calcium, Iron",General nutrition,Adults,"Parkinson's Disease, Diverticulitis"
"Desserts, prepared-from-recipe, chocolate, mousse",225,28,57,3,"E, A, B",Breakfast,19.1,Normal weight,Iron,General nutrition,Old age,"Endometriosis, Hypertension"
"BURGER KING, Cheeseburger",286,28,73,6,C,Breakfast,22.0,Normal weight,"Magnesium, Calcium, Iron",General nutrition,All ages,"HIV/AIDS, Phenylketonuria"
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, roast, tip round, round",174,31,50,29,"A, B, C, E",Snacks,25.4,Overweight,"Zinc, Iron",General nutrition,Old age,"Schizophrenia, Tuberculosis, Hypoglycemia"
"McDONALD'S, Hamburger",264,34,92,22,"E, A, B",Breakfast,27.7,Overweight,Calcium,General nutrition,Children,"Sleep Apnea, Hypothyroidism, Tay-Sachs Disease"
"School Lunch, frozen, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Turkey Pepperoni Pizza, pizza",248,12,79,23,B,Others,26.7,Overweight,"Zinc, Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Old age,"Arthritis, Eating Disorders, Meningitis"
"Beverages, fortified, ready to drink, milk and soy based, chocolate drink",101,14,7,28,"B, E, D",Snacks,19.4,Normal weight,Iron,General nutrition,All ages,Gaucher's Disease
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",160,48,86,15,"A, D, C",Snacks,29.3,Overweight,"Zinc, Magnesium, Iron",General nutrition,Children,"Myeloma, Lung Cancer"
"CAMPBELL'S Red and White, condensed, Cream of Celery Soup",73,17,5,14,"E, A",Snacks,17.3,Underweight,"Zinc, Magnesium, Calcium",General nutrition,Old age,Ulcerative Colitis
"Beef, braised, cooked, select, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",205,49,52,15,"E, C",Breakfast,28.9,Overweight,Calcium,General nutrition,Old age,Sickle Cell Anemia
"Chicken, simmered, cooked, all classes, heart",185,34,15,5,"C, A",Snacks,24.5,Normal weight,"Iron, Zinc, Calcium",General nutrition,Old age,"Fabry Disease, Hypoglycemia, Multiple Sclerosis"
"Turkey, raw, meat only, from whole bird, drumstick",109,33,85,22,"E, B, D",Snacks,26.4,Overweight,"Magnesium, Zinc",General nutrition,Adults,"Wilson's Disease, Leukemia, Cystinosis"
"Pork, pan-broil, heated, separable lean and fat, boneless, slice, ham with natural juices, cured",118,31,92,3,"D, C, A, E",Snacks,20.0,Normal weight,"Magnesium, Zinc",General nutrition,All ages,"Breast Cancer, Crohn's Disease, Bipolar Disorder"
"Cereals, dry, maple and brown sugar, fortified, instant, oats",368,11,60,28,B,Others,26.2,Overweight,Zinc,"Sustained energy, Digestive health, Blood sugar control",All ages,"Irritable Bowel Syndrome, Skin Cancer, Systemic Lupus Erythematosus"
"KEEBLER, Coconut Cookies, CHIPS DELUXE",530,48,64,13,"B, E, A",Lunch,25.9,Overweight,"Iron, Magnesium, Calcium",General nutrition,All ages,"Kidney Disease, Leukemia"
"Polish sausage, pork",326,22,91,27,"D, E, A, B",Others,27.8,Overweight,"Iron, Magnesium, Zinc",General nutrition,Adults,"Sleep Apnea, Ulcerative Colitis, Acromegaly"
"Beef, raw, separable lean and fat, flat, imported, New Zealand",177,27,76,25,"B, C, D",Snacks,26.5,Overweight,Zinc,General nutrition,Old age,"Cushing's Syndrome, Heart Disease, Wilson's Disease"
"Smoked link sausage, pork",309,40,28,12,B,Others,20.3,Normal weight,Magnesium,General nutrition,All ages,Anxiety
"Chicken, no broth, canned",185,32,40,24,B,Snacks,28.5,Overweight,"Magnesium, Calcium, Iron",General nutrition,Adults,Cystic Fibrosis
"Infant formula, not reconstituted, powder, NEXT STEP PROSOBEE, MEAD JOHNSON",480,30,90,27,"A, C, B",Lunch,29.6,Overweight,Zinc,General nutrition,All ages,"Anemia, Skin Cancer"
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",117,27,25,28,"C, D, B",Snacks,23.4,Normal weight,"Iron, Calcium",General nutrition,Old age,"Anorexia Nervosa, Seizure Disorders, Encephalitis"
"Candies, M&M MARS 3 MUSKETEERS Truffle Crisp",538,48,88,10,"E, D, B",Lunch,29.9,Overweight,"Iron, Zinc, Magnesium",General nutrition,Children,Ulcers
"Peas, without salt, boiled, cooked, mature seeds, split",118,30,75,20,"B, E",Snacks,26.8,Overweight,"Calcium, Zinc, Iron",General nutrition,Adults,Lung Cancer
"Hyacinth-beans, without salt, drained, boiled, cooked, immature seeds",50,49,23,26,"C, E, B, A",Snacks,27.4,Overweight,"Magnesium, Iron",General nutrition,Children,"Multiple Sclerosis, Anxiety, HIV/AIDS"
"Pork, broiled, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh",260,45,11,14,"E, B, D, A",Others,19.2,Normal weight,Iron,General nutrition,Children,"Irritable Bowel Syndrome, Asthma"
"Cake, dry mix, carrot, pudding-type",415,9,21,23,"A, C",Others,23.5,Normal weight,Calcium,General nutrition,Adults,Psoriasis
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast or steak",127,31,14,11,"C, E",Snacks,20.2,Normal weight,"Iron, Calcium, Magnesium",General nutrition,Adults,"Binge Eating Disorder, Cystitis"
"Babyfood, with tomato sauce, cheese filled, ravioli",99,4,79,9,"E, B, A, D",Snacks,24.3,Normal weight,"Calcium, Magnesium",General nutrition,Children,"Post-Traumatic Stress Disorder (PTSD), Food Allergies, Thyroid Disorders"
"Pie Crust, Ready Crust, Graham Cracker, Cookie-type",501,44,67,0,D,Lunch,27.2,Overweight,"Magnesium, Zinc, Calcium",General nutrition,Adults,Autism Spectrum Disorder
"Bagels, with calcium propionate (includes onion, poppy, sesame), unenriched, plain",275,43,88,10,"B, E, D",Breakfast,27.1,Overweight,"Zinc, Iron, Magnesium",General nutrition,Old age,"Canavan Disease, Schizophrenia, Diabetes"
"Fast foods, with egg and ham, biscuit",233,26,44,1,"D, E, A",Breakfast,20.3,Normal weight,"Zinc, Calcium",General nutrition,Children,Gaucher's Disease
"Cereals ready-to-eat, Cinnamon Burst CHEERIOS, GENERAL MILLS",375,24,16,8,"E, B, C, D",Others,19.8,Normal weight,"Zinc, Iron, Magnesium","Sustained energy, Digestive health, Blood sugar control",All ages,Anxiety
"Babyfood, strained, orange, fruit pudding, dessert",80,14,95,13,"B, A, C, E",Snacks,23.9,Normal weight,"Zinc, Calcium",General nutrition,Old age,Hyperglycemia
"Snacks, peanut butter, KUDOS Whole Grain Bars, M&M MARS",463,14,78,1,"E, D, B",Others,19.4,Normal weight,Magnesium,"Sustained energy, Digestive health, Blood sugar control",Adults,Ulcerative Colitis
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib",195,25,60,13,"A, D",Snacks,20.2,Normal weight,"Calcium, Iron, Zinc",General nutrition,All ages,"Myeloma, Thyroid Disorders, Mucopolysaccharidosis"
"Rice mix, unprepared, dry mix, cheese flavor",362,34,85,12,"E, D, B",Breakfast,27.7,Overweight,"Magnesium, Calcium",General nutrition,All ages,"High Cholesterol, Skin Cancer"
"Cake, prepared from recipe, biscuit-type, shortcake",346,29,50,12,"C, D",Breakfast,19.0,Normal weight,"Zinc, Iron, Calcium",General nutrition,Old age,"Hypoglycemia, Cancer, HIV/AIDS"
"Beverages, decaffeinated, restaurant-prepared, espresso, brewed, coffee",9,5,74,4,"A, E, C",Snacks,17.3,Underweight,"Zinc, Calcium",General nutrition,Old age,Hypothyroidism
"Cookies, unenriched, higher fat, regular, commercially prepared, chocolate chip",481,33,70,8,"A, B, E, D",Lunch,28.3,Overweight,"Calcium, Magnesium, Zinc",General nutrition,All ages,"Alzheimer's Disease, Pancreatitis, Lactose Intolerance"
"McDONALD'S, DOUBLE QUARTER POUNDER with Cheese",262,17,70,18,D,Others,22.3,Normal weight,"Zinc, Iron",General nutrition,Old age,"Glaucoma, COPD, Neurofibromatosis"
"Danish pastry, unenriched, raspberry",371,18,94,18,"B, E",Others,25.5,Overweight,"Iron, Magnesium, Calcium",General nutrition,Adults,"Hemophilia, Acromegaly, Galactosemia"
"DENNY'S, golden fried shrimp",319,44,93,16,"C, E",Breakfast,27.1,Overweight,"Iron, Zinc",General nutrition,Old age,Marfan Syndrome
"Blueberries, unsweetened, frozen",51,46,33,12,"A, E, D",Snacks,21.4,Normal weight,"Zinc, Magnesium",General nutrition,All ages,"Marfan Syndrome, Hyperglycemia"
"Cereals ready-to-eat, CORN BURSTS, MALT-O-MEAL",385,18,56,8,"B, C",Breakfast,22.6,Normal weight,"Calcium, Iron, Zinc","Sustained energy, Digestive health, Blood sugar control",Children,"Chronic Pain, Asthma, Chronic Fatigue Syndrome"
"Fish, dry heat, cooked, wild, coho, salmon",139,13,94,28,"A, B, C",Snacks,28.3,Overweight,"Iron, Calcium, Zinc","Brain development, Joint health, Mood improvement",Old age,Chronic Fatigue Syndrome
"Restaurant, Arroz con habichuelas colorados (Rice And Red Beans), Latino",142,41,62,15,"C, D, E",Snacks,28.4,Overweight,"Calcium, Zinc",General nutrition,Old age,"Chronic Fatigue Syndrome, Pancreatitis"
"Veal, roasted, cooked, separable lean only, leg (top round)",150,25,96,1,"D, E",Snacks,18.9,Normal weight,Magnesium,General nutrition,Adults,Binge Eating Disorder
"Chicken, stewed, cooked, meat and skin, dark meat, broilers or fryers",233,18,98,16,"B, D, A, C",Breakfast,26.9,Overweight,"Zinc, Calcium, Iron",General nutrition,Children,"Inflammatory Bowel Disease, Post-Traumatic Stress Disorder (PTSD), Dementia"
